unique_id,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,reconciled_median,bottomup_median,level,spend,roas_q0.05,roas_q0.1,roas_q0.25,roas_q0.5,roas_q0.75,roas_q0.9,roas_q0.95,roas_reconciled_median,horizon_days,max_abs_coherence_error
total/google/SEARCH/google::21587818996,0.0,0.0,0.0,3904.912189279495,5679.974404690073,7816.151164408824,9927.74440474167,3904.912189279495,3904.9121892794974,campaign,699.0978835714285,0.0,0.0,0.0,5.5856444155298615,8.124719782690827,11.180338759544005,14.200793105000622,5.5856444155298615,30,0.0
total/google/SEARCH/google::21697189844,0.0,0.0,0.0,29.93940937144757,169.93940937144768,1731.5481582372877,1840.3066550022243,29.93940937144757,29.9394093714476,campaign,5.614285714285714,0.0,0.0,0.0,5.332719226466489,30.269105994914348,308.4182470142752,327.78998944059975,5.332719226466489,30,0.0
total/google/SEARCH/google::21700991485,0.0,0.0,0.0,66.1797238550506,822.7417121787073,1270.4965483636995,1395.4982122520282,66.1797238550506,66.17972385505104,campaign,12.5953875,0.0,0.0,0.0,5.254282478808262,65.32087338946161,100.86998501345826,110.7943850280135,5.254282478808262,30,0.0
total/google/SEARCH/google::21885723757,17394.025913539193,19565.15858776677,20363.288698994365,20363.288698994365,20363.288698994365,20363.288698994365,20363.288698994365,20363.288698994365,20363.28869899437,campaign,5378.364972857143,3.23407318047793,3.6377521210452914,3.786148541752234,3.786148541752234,3.786148541752234,3.786148541752234,3.786148541752234,3.786148541752234,30,0.0
total/google/SEARCH/google::22866636855,3742.0398637932085,4811.651680183284,8480.719307323161,16484.80309940544,77514.91313242567,133373.48687960434,140990.72509995586,16484.80309940544,16484.803099405464,campaign,2342.898444642857,1.59718398053042,2.0537175613332033,3.6197554045565687,7.036072407277697,33.08505040398444,56.92670426435633,60.17790716551863,7.036072407277697,30,0.0
total/google/SEARCH/google::23078147752,0.0,0.0,0.0,20.995167548570883,549.4525491489767,726.5402543889315,755.2825632857171,20.995167548570883,20.995167548570876,campaign,27.20472428571429,0.0,0.0,0.0,0.7717471174517965,20.19695341803205,26.706400210438872,27.762919239814906,0.7717471174517965,30,0.0
total/google/SEARCH/google::9988712287,8844.355509964884,15373.721981208411,22349.016640130307,27942.871622090683,49274.881662639935,66298.07161848406,70941.03077271345,27942.871622090683,27942.871622090744,campaign,4967.621844642857,1.7804003176092689,3.094785082682495,4.4989367828454485,5.624999747560216,9.919209473599237,13.346038344279506,14.280682586420525,5.624999747560216,30,0.0
total/google/SHOPPING/google::22946407106,33053.77341220916,35259.964834286766,39692.86048718708,47062.03058684171,107715.67968936262,254728.85223134764,291462.7111866953,47062.03058684171,47062.03058684168,campaign,10588.017857142868,3.121809375294025,3.330176177451359,3.748847142377037,4.444838611137477,10.173356443358818,24.0582189856719,27.527599133209748,4.444838611137477,30,0.0
total/google/VIDEO/google::21956274883,0.0,0.0,0.0,32.434774890954806,900.4022371598841,1003.7089760570685,1011.2555654904786,32.434774890954806,32.434774890955055,campaign,32.8885971428572,0.0,0.0,0.0,0.9862012280447493,27.377337903737097,30.518449044733902,30.747908191338126,0.9862012280447493,30,0.0
total/google/VIDEO/google::22719291493,0.0,0.0,0.0,658.9455010074238,839.0786874505053,850.1490870920769,856.7987478809554,658.9455010074238,658.9455010074217,campaign,1202.7685114285716,0.0,0.0,0.0,0.5478572931916637,0.6976227590576853,0.706826857382826,0.7123554863132429,0.5478572931916637,30,0.0
total/meta/brand/meta::120228073930760533,0.0,0.0,0.0,2817.516926049012,4173.801745411749,4411.210966198413,4418.60750221463,2817.516926049012,2817.516926049012,campaign,2541.964285714286,0.0,0.0,0.0,1.1084014601949046,1.6419592395016362,1.7353552097443705,1.7382649815526467,1.1084014601949046,30,0.0
total/meta/prospecting/meta::120214631839140533,0.0,0.0,1060.895824614926,3927.1169391955136,6909.930558656923,9074.09924719857,12897.424239438928,3927.1169391955136,3927.116939195533,campaign,279.9964275,0.0,0.0,3.7889620024345705,14.025596591569062,24.678638296757995,32.40791080164254,46.062817138761275,14.025596591569062,30,0.0
total/meta/prospecting/meta::120214873996970533,3907.2930768918814,6214.639348005301,9254.535628593268,13961.184935670432,23211.54940834891,43471.29799490901,53362.9732251529,13961.184935670432,13961.184935670442,campaign,2573.5499989285713,1.51825030736476,2.4148119720202055,3.596019363309882,5.42487417826846,9.019272762531296,16.891569238214576,20.735160866262223,5.42487417826846,30,0.0
total/meta/prospecting/meta::120216797384630533,0.0,0.0,1080.1611137704363,3279.0672177224747,4880.169190642448,6338.67992904934,6776.482600655898,3279.0672177224747,3279.0672177224737,campaign,539.5392857142857,0.0,0.0,2.002006419866964,6.07753189534916,9.04506737480976,11.748319532761517,12.559757519203893,6.07753189534916,30,0.0
total/meta/prospecting/meta::120216797418540533,437.8287073775423,962.6387202462952,2487.7541622406966,3791.763055479248,4895.53885619651,5684.576577117921,5830.314959854266,3791.763055479248,3791.763055479248,campaign,576.4607132142858,0.7595117886460195,1.669912100130329,4.315565840331486,6.577660833704983,8.492406757261024,9.861169107988827,10.113984919015605,6.577660833704983,30,0.0
total/meta/prospecting/meta::120235053527040533,730.4285794218531,3939.1277880941598,8648.288194337121,13742.769152450424,16708.99796965506,23367.841302091576,24960.033724099572,13742.769152450424,13742.769152450424,campaign,2439.1178571428577,0.299464241665413,1.6149805047585477,3.5456622848342323,5.634319437334806,6.850426649423044,9.580447797411592,10.233221675207341,5.634319437334806,30,0.0
